"","GMHI"
"Sample1",-0.631363762485936
"Sample2",-2.34589945289253
"Sample3",-2.70552079801393
"Sample4",-1.21742351315841
"Sample5",1.74314721952273
"Sample6",-0.294056833188457
"Sample7",-3.74041286321023
"Sample8",0.454787850506264
"Sample9",-2.8889725510722
"Sample10",-0.638389951019589
"Sample11",0.713582219846563
"Sample12",4.06486761547168
"Sample13",1.9072177187301
"Sample14",-0.647442430075159
"Sample15",-0.794434443186006
"Sample16",0.840684613205986
"Sample17",0.325147375171236
"Sample18",3.14141179745426
"Sample19",0
"Sample20",0
"Sample21",1.80376394868803
"Sample22",-2.13636375620774
"Sample23",3.09258184613619
"Sample24",0.0215943233183488
"Sample25",-0.100524855564923
